FLUXO DE DESEMBOLSOS JOAQUIM LEME POR MÊS E POR ETAPA;VALOR TOTAL MENSAL;TOPOGRAFIA e CONTROLE;MANUTENÇÕES / AS BUILTS;DRENAGEM;REDE DE ÁGUA POTÁVEL;RESERVATÓRIO / ADUTORA;SISTEMA DE ESGOTO SANITÁRIO;ESTAÇÃO ELEVATÓRIA DE ESGOTO;GUIAS E SARJETAS;PAVIMENTAÇÃO TOTAL;ELETRIFICAÇÃO;MEIO AMBIENTE;OBRA DE ACESSO ;TOPOGRAFIA DE ENTREGA;INDIRETO DE OBRAS;
set/26;R$ 13.327,14;R$ 2.500,00;R$ 10.594,90; R$ -   ;R$ 17.300,00;-R$ 73.585,02;R$ 17.300,00; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 28.915,00; R$ -   ; R$ -   ;R$ 10.302,26;
out/26;-R$ 61.847,86; R$ -   ;R$ 3.094,90; R$ -   ; R$ -   ;-R$ 73.585,02; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 540,00; R$ -   ; R$ -   ;R$ 8.102,26;
nov/26;-R$ 62.387,86; R$ -   ;R$ 3.094,90; R$ -   ; R$ -   ;-R$ 73.585,02; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 8.102,26;
dez/26;-R$ 62.387,86; R$ -   ;R$ 3.094,90; R$ -   ; R$ -   ;-R$ 73.585,02; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 8.102,26;
jan/27;-R$ 73.585,02; R$ -   ; R$ -   ; R$ -   ; R$ -   ;-R$ 73.585,02; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;
TOTAL;R$ 4.523.252,37;R$ 7.500,00;R$ 158.143,66;R$ 340.220,00;R$ 84.333,64;R$ 692.342,29;R$ 192.432,26;R$ 164.260,78;R$ 63.731,00;R$ 146.000,00;R$ 1.846.124,81;R$ 77.553,58;R$ 448.834,00;R$ 80.000,00;R$ 221.776,35;
;;;;;;;;;;;;;;;;
FLUXO DE DESEMBOLSOS MIRANTE DA LAGOA POR MÊS E POR ETAPA;VALOR TOTAL MENSAL;TOPOGRAFIA e CONTROLE;MANUTENÇÕES / AS BUILTS;TERRAPLANAGEM ;DRENAGEM;REDE DE ÁGUA POTÁVEL;RESERVATÓRIO / ADUTORA;SISTEMA DE ESGOTO SANITÁRIO;ESTAÇÃO ELEVATÓRIA DE ESGOTO;GUIAS E SARJETAS;PAVIMENTAÇÃO TOTAL;ELETRIFICAÇÃO;MEIO AMBIENTE / PRAÇAS;TOPOGRAFIA DE ENTREGA;INDIRETO DE OBRAS;
out/23;R$ 15.940,80; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 1.700,00; R$ -   ; R$ -   ;R$ 14.240,80;
nov/23;R$ 10.938,10; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 1.000,00; R$ -   ; R$ -   ;R$ 9.938,10;
dez/23;R$ 1.000,00; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 1.000,00; R$ -   ; R$ -   ; R$ -   ;
jan/24;R$ 7.000,00; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 1.000,00; R$ -   ;R$ 6.000,00; R$ -   ;
fev/24;R$ 7.500,00; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 1.000,00; R$ -   ;R$ 6.500,00; R$ -   ;
mar/24;R$ 9.500,00; R$ -   ;R$ 6.500,00; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 1.000,00; R$ -   ;R$ 2.000,00; R$ -   ;
abr/24;R$ 19.220,00; R$ -   ;R$ 3.720,00; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 1.000,00; R$ -   ;R$ 14.500,00; R$ -   ;
mai/24; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;
jun/24;R$ 27.359,20; R$ -   ;R$ 6.519,20;R$ 13.000,00; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 2.840,00; R$ -   ;R$ 5.000,00; R$ -   ;
jul/24;R$ 17.200,00; R$ -   ;R$ 1.700,00;R$ 14.500,00; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 1.000,00; R$ -   ; R$ -   ; R$ -   ;
ago/24;R$ 13.036,00; R$ -   ;R$ 3.036,00;R$ 10.000,00; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;
set/24;R$ 13.800,00; R$ -   ; R$ -   ; R$ -   ;R$ 3.720,00;R$ 1.000,00; R$ -   ;R$ 7.080,00; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 2.000,00; R$ -   ;
out/24;R$ 16.900,00; R$ -   ;R$ 8.000,00; R$ -   ; R$ -   ;R$ 8.900,00; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;
nov/24;R$ 44.080,40;R$ 1.000,00;R$ 6.500,00;R$ 3.000,00; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 33.580,40; R$ -   ; R$ -   ;
dez/24;R$ 31.408,00; R$ -   ; R$ -   ;R$ 2.000,00; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 2.000,00;R$ 15.908,00;R$ 11.500,00; R$ -   ;
