FLUXO DE DESEMBOLSOS JOAQUIM LEME POR MÊS E POR ETAPA;VALOR TOTAL MENSAL;TOPOGRAFIA e CONTROLE;MANUTENÇÕES / AS BUILTS;DRENAGEM;REDE DE ÁGUA POTÁVEL;RESERVATÓRIO / ADUTORA;SISTEMA DE ESGOTO SANITÁRIO;ESTAÇÃO ELEVATÓRIA DE ESGOTO;GUIAS E SARJETAS;PAVIMENTAÇÃO TOTAL;ELETRIFICAÇÃO;MEIO AMBIENTE;OBRA DE ACESSO ;TOPOGRAFIA DE ENTREGA;INDIRETO DE OBRAS;
mai/25;R$ 20.000,00; R$ -   ;R$ 20.000,00; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;;
jun/25;R$ 19.260,00; R$ -   ;R$ 19.260,00; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;;
jul/25; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;;
ago/25;R$ 37.280,00; R$ -   ;R$ 37.280,00; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;;
set/25;R$ 9.500,00; R$ -   ;R$ 9.500,00; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;;
out/25;R$ 3.159,00; R$ -   ;R$ 3.159,00; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;;
nov/25; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;;
dez/25;R$ 1.750,00; R$ -   ;R$ 1.750,00; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;;
jan/26;R$ 6.059,30; R$ -   ;R$ 1.659,30; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 4.400,00;; R$ -   ;;
fev/26; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;;
mar/26;R$ 7.479,00;R$ 5.800,00;R$ 1.300,00; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 379,00; R$ -   ; R$ -   ; R$ -   ;;
abr/26;R$ 17.587,13; R$ -   ;R$ 35,00; R$ -   ;R$ 17.040,00; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 512,13;;
mai/26;R$ 83.696,26;R$ 1.500,00;R$ 30,00; R$ -   ;R$ 79.916,26; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 2.250,00;;
jun/26;R$ 176.415,24; R$ -   ; R$ -   ; R$ -   ;R$ 173.775,30; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 176,90; R$ -   ; R$ -   ;R$ 2.463,04;;
jul/26;R$ 521.617,32;R$ 5.000,00;R$ 24.742,73; R$ -   ;R$ 252.700,59;R$ 53.311,50;R$ 67.312,50;R$ 100.000,00; R$ -   ; R$ -   ; R$ -   ;R$ 8.800,00; R$ -   ;R$ 9.750,00;;
ago/26;R$ 330.525,07;R$ 5.000,00;R$ 31.592,73;R$ 25.200,00;R$ 29.558,34;R$ 53.311,50;R$ 67.312,50;R$ 100.000,00; R$ -   ; R$ -   ; R$ -   ;R$ 8.800,00; R$ -   ;R$ 9.750,00;;
set/26;R$ 1.186.950,30;R$ 3.500,00;R$ 10.992,73;R$ 25.200,00; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 144.984,53;R$ 992.523,04; R$ -   ; R$ -   ; R$ -   ;R$ 9.750,00;;
out/26;R$ 1.220.397,80; R$ -   ;R$ 4.142,73; R$ -   ;R$ 6.080,00; R$ -   ; R$ -   ; R$ -   ;R$ 144.984,53;R$ 992.523,04;R$ 29.617,50; R$ -   ;R$ 33.300,00;R$ 9.750,00;;
nov/26;R$ 1.230.321,55; R$ -   ;R$ 4.142,73; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 160.988,28;R$ 992.523,04;R$ 29.617,50; R$ -   ;R$ 33.300,00;R$ 9.750,00;;
dez/26;R$ 175.569,81; R$ -   ;R$ 2.842,73; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 16.003,75; R$ -   ; R$ -   ;R$ 146.973,33; R$ -   ;R$ 9.750,00;;
jan/27;R$ 159.566,06; R$ -   ;R$ 2.842,73; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 146.973,33; R$ -   ;R$ 9.750,00;;
fev/27;R$ 159.566,06; R$ -   ;R$ 2.842,73; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 146.973,33; R$ -   ;R$ 9.750,00;;
mar/27;R$ 159.566,06; R$ -   ;R$ 2.842,73; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 146.973,33; R$ -   ;R$ 9.750,00;;
abr/27;R$ 159.566,06; R$ -   ;R$ 2.842,73; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 146.973,33; R$ -   ;R$ 9.750,00;;
mai/27;R$ 159.566,06; R$ -   ;R$ 2.842,73; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 146.973,33; R$ -   ;R$ 9.750,00;;
TOTAL;R$ 5.880.108,08;R$ 20.800,00;R$ 186.643,30;R$ 50.400,00;R$ 559.070,49;R$ 106.623,00;R$ 134.625,00;R$ 200.000,00;R$ 466.961,10;R$ 2.977.569,12;R$ 59.790,90;R$ 903.840,00;R$ 78.210,00;R$ 135.575,17;;
